,pm2_5,pm2_5,pm2_5,pm2_5,Temperature,WindSpeed,Humidity,Pressure,traffic
2020-06-24 01:00:00,9.635442860921223,8.733885801755465,9.89042905660776,10.617581074054424,18.0,3.0,73.0,30.18,34.7393875
2020-06-24 02:00:00,9.36093361037118,8.343678099768502,9.379667542197488,10.099777357918876,17.0,6.0,73.0,30.15,25.843132499999996
2020-06-24 03:00:00,8.735182205835978,8.148610518528866,9.5493072782244,9.794557412465414,17.0,6.0,73.0,30.15,26.779048333333336
2020-06-24 04:00:00,9.444621721903482,8.773915417989095,9.749278655418983,10.373258018493653,16.0,6.0,77.0,30.15,26.7640775
2020-06-24 05:00:00,9.24968763760158,9.008930853434972,9.803976665843617,9.557382379259382,16.0,3.0,77.0,30.15,32.53583833333334
2020-06-24 06:00:00,9.596995226542155,10.19503743307931,10.426468167986188,11.126443590436663,17.5,6.0,73.0,30.15,59.42108083333333
2020-06-24 07:00:00,9.68910162789481,11.740278039659772,11.058349200657435,12.515824445088704,19.5,6.0,66.0,30.15,175.46410833333331
2020-06-24 08:00:00,10.44521681467692,10.836177762349447,10.524619738260904,11.524619738260904,21.0,6.0,64.0,30.15,240.51461750000007
2020-06-24 09:00:00,8.249919011042667,8.689714688521166,9.192081781534048,9.188429968697685,24.0,6.5,55.5,30.12,272.55481249999997
2020-06-24 10:00:00,6.7604482769966125,7.280282122748239,7.334607427770441,8.007636070251465,26.0,6.5,48.0,30.12,277.0951083333333
2020-06-24 11:00:00,6.372607421875,6.774525202237642,7.184920088450114,7.374620047482577,28.5,6.0,41.0,30.12,275.17837750000007
2020-06-24 12:00:00,6.120753208796184,5.852869192759196,6.533443609873454,7.098561233944363,29.5,11.0,37.5,30.105,283.2727041666666
2020-06-24 13:00:00,5.702080965042114,6.580988152821859,6.194780383791242,6.487952963511149,30.5,8.0,38.0,30.09,275.13190833333323
2020-06-24 14:00:00,4.794568347930908,6.573034695216587,5.554933746655782,6.034739562443325,31.0,10.0,38.0,30.09,256.4893116666667
2020-06-24 15:00:00,4.476522120562467,4.957538332257952,5.561686070760091,5.6076186043875555,30.5,12.5,36.5,30.09,293.8536916666667
2020-06-24 16:00:00,5.493099689483643,4.953213914235433,5.797018591562907,5.919195578648494,31.0,14.0,31.0,30.07,293.48536500000006
2020-06-24 17:00:00,6.093408849504259,5.775966314169077,6.469221041752742,6.550434112548828,30.0,15.5,34.0,30.07,289.38727583333326
2020-06-24 18:00:00,5.393952505929129,5.8461452552250455,6.187604207258958,6.657340673299936,29.0,15.0,37.0,30.07,252.81970583333336
2020-06-24 19:00:00,6.638885021209717,6.347727809633527,6.818689250946045,6.797586719195048,27.5,13.5,41.0,30.07,191.10889416666666
2020-06-24 20:00:00,6.736801954416128,6.182584872612586,6.977639565101037,7.042210612978254,26.5,13.5,40.5,30.07,140.95335333333333
2020-06-24 21:00:00,6.520672957102458,6.11427534543551,6.684561252593994,7.014148198641264,24.5,11.5,47.0,30.09,110.19405916666666
2020-06-24 22:00:00,7.2514956792195635,6.412053695091834,7.014810494014195,6.822245200475057,23.0,10.0,50.0,30.09,89.5888175
2020-06-24 23:00:00,8.485564804077148,7.496355883280436,8.367878106924204,8.311741224924724,22.0,8.0,53.0,30.09,75.1179325
2020-06-25 00:00:00,9.365329333714076,8.455741588885967,9.594994618342472,7.943110466003418,21.0,7.0,60.0,30.09,48.5903275
2020-06-25 01:00:00,9.526130608149938,8.775062356676374,9.609649499257406,,20.0,7.0,64.0,30.07,39.75763416666667
2020-06-25 02:00:00,10.15594938823155,9.084774824289175,10.498625461871807,11.256209986550468,19.0,7.0,68.0,30.07,30.38969916666667
2020-06-25 03:00:00,11.504615579332624,10.175749778747559,11.699911181131998,11.46696917215983,18.0,5.0,78.0,30.04,34.82554666666666
2020-06-25 04:00:00,11.19882229396275,9.754931322733562,11.03096052316519,10.967225646972656,18.0,5.0,78.0,30.04,32.61651416666667
2020-06-25 05:00:00,9.379815468421349,9.15587602342878,9.983442086439867,10.05848388671875,18.0,3.0,78.0,30.04,27.363718333333328
